127.0.0.1 - - [12/Sep/2023:22:30:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:30:26 +0530] "GET /server/ HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:30:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:30:35 +0530] "GET /server/log.html HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:30:46 +0530] "GET /server/servlet1?name=sandeep&password=12345 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:30:57 +0530] "GET /server/servlet1?name=sandeep&password=123dfds HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:30:59 +0530] "GET /ServletDispatching/home.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:35 +0530] "GET /ServletDispatching/home.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:36 +0530] "GET /ServletDispatching/home.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:39 +0530] "GET /ServletDispatching/home.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:44 +0530] "GET /server/log.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:50 +0530] "GET /server/servlet1?name=sandeep&password=123dfds HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:51 +0530] "GET /ServletDispatching/log.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:31:59 +0530] "GET /ServletDispatching/log.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:32:05 +0530] "GET /ServletDispatching/log.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:32:45 +0530] "GET /server/servlet1?name=sandeep&password=123dfds HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:32:47 +0530] "GET /server/log.html HTTP/1.1" 304 -
